First letter of your name;Date;hour;Price;Load;RES;EUA;NG
A;20150101;1;106.62;15425;8373;7.01;2.50
A;20150101;2;99.95;14550;7495;7.01;2.50
A;20150101;3;82.97;13838;6757;7.01;2.50
A;20150101;4;76.72;13300;6191;7.01;2.50
A;20150101;5;75;13000;5874;7.01;2.50
A;20150101;6;75;12875;5737;7.01;2.50
A;20150101;7;74.99;12900;5731;7.01;2.50
A;20150101;8;71.99;12775;5580;7.01;2.50
A;20150101;9;71.99;12638;5420;7.01;2.50
A;20150101;10;74.5;13150;5927;7.01;2.50
A;20150101;11;77.98;13750;6510;7.01;2.50
A;20150101;12;78.9;14250;6976;7.01;2.50
A;20150101;13;79.46;14650;7348;7.01;2.50
A;20150101;14;94.99;15088;7771;7.01;2.50
A;20150101;15;95;15163;7817;7.01;2.50
A;20150101;16;100.97;15525;8162;7.01;2.50
A;20150101;17;135.39;16975;9581;7.01;2.50
A;20150101;18;145.28;17500;10112;7.01;2.50
A;20150101;19;145.47;17575;10159;7.01;2.50
A;20150101;20;146.28;17713;10283;7.01;2.50
A;20150101;21;137.58;17300;9845;7.01;2.50
A;20150101;22;106.51;16550;9072;7.01;2.50
A;20150101;23;104.47;15750;8263;7.01;2.50
A;20150101;24;81.01;14600;7063;7.01;2.50
A;20150102;1;74.29;13500;5966;7.01;2.50
A;20150102;2;72.25;12988;5307;7.01;2.50
A;20150102;3;71.26;12725;4901;7.01;2.50
A;20150102;4;71.19;12725;4765;7.01;2.50
A;20150102;5;71.43;13063;4950;7.01;2.50
A;20150102;6;73.31;13838;5573;7.01;2.50
A;20150102;7;79.93;15900;7509;7.01;2.50
A;20150102;8;74.99;17688;9176;7.01;2.50
A;20150102;9;79.94;18700;10077;7.01;2.50
A;20150102;10;109.03;19525;10850;7.01;2.50
A;20150102;11;125.75;19975;11238;7.01;2.50
A;20150102;12;133.39;20175;11398;7.01;2.50
A;20150102;13;141.21;20175;11360;7.01;2.50
A;20150102;14;145.43;20375;11560;7.01;2.50
A;20150102;15;144.17;20225;11415;7.01;2.50
A;20150102;16;144.86;20350;11530;7.01;2.50
A;20150102;17;153.02;21738;12898;7.01;2.50
A;20150102;18;153.02;22025;13201;7.01;2.50
A;20150102;19;153.02;21763;12950;7.01;2.50
A;20150102;20;152.94;21588;12770;7.01;2.50
A;20150102;21;146.35;20975;12142;7.01;2.50
A;20150102;22;110.06;19825;10954;7.01;2.50
A;20150102;23;124.4;18350;9473;7.01;2.50
A;20150102;24;82.95;16875;7979;7.01;2.50
A;20150103;1;75.99;15613;6793;7.01;2.50
A;20150103;2;74.79;14800;5987;7.01;2.50
A;20150103;3;74.56;14400;5573;7.01;2.50
A;20150103;4;74.6;14238;5388;7.01;2.50
A;20150103;5;74.44;14300;5444;7.01;2.50
A;20150103;6;74.25;14613;5764;7.01;2.50
A;20150103;7;79.91;15600;6742;7.01;2.50
A;20150103;8;74.17;16400;7551;7.01;2.50
A;20150103;9;79.98;17225;8355;7.01;2.50
A;20150103;10;110.19;18250;9403;7.01;2.50
A;20150103;11;128.37;18838;10025;7.01;2.50
A;20150103;12;135.89;19125;10317;7.01;2.50
A;20150103;13;133.75;19175;10378;7.01;2.50
A;20150103;14;135.15;19300;10526;7.01;2.50
A;20150103;15;134.97;19050;10312;7.01;2.50
A;20150103;16;135.16;19313;10624;7.01;2.50
A;20150103;17;152.97;20575;11982;7.01;2.50
A;20150103;18;160;20800;12335;7.01;2.50
A;20150103;19;163.48;20525;12206;7.01;2.50
A;20150103;20;155.25;20350;12209;7.01;2.50
A;20150103;21;152.59;19750;11798;7.01;2.50
A;20150103;22;132.41;18550;10787;7.01;2.50
A;20150103;23;106.55;17375;9796;7.01;2.50
A;20150103;24;79.99;16100;8680;7.01;2.50
A;20150104;1;92.27;14825;6626;7.01;2.50
A;20150104;2;74.4;14025;5883;7.01;2.50
A;20150104;3;74.23;13525;5409;7.01;2.50
A;20150104;4;74.11;13275;5113;7.01;2.50
A;20150104;5;74;13225;5009;7.01;2.50
A;20150104;6;73.67;13375;5105;7.01;2.50
A;20150104;7;74.56;13625;5306;7.01;2.50
A;20150104;8;74.23;14000;5643;7.01;2.50
A;20150104;9;74.4;14575;6189;7.01;2.50
A;20150104;10;79.96;15475;7069;7.01;2.50
A;20150104;11;100.73;16275;7838;7.01;2.50
A;20150104;12;106.11;16738;8297;7.01;2.50
A;20150104;13;120.72;16975;8516;7.01;2.50
A;20150104;14;124.96;17200;8723;7.01;2.50
A;20150104;15;120.56;17025;8547;7.01;2.50
A;20150104;16;122.84;17188;8702;7.01;2.50
A;20150104;17;140.94;18575;10068;7.01;2.50
A;20150104;18;150.69;19088;10576;7.01;2.50
A;20150104;19;151.42;19113;10606;7.01;2.50
A;20150104;20;151.43;19225;10749;7.01;2.50
A;20150104;21;144.84;18700;10273;7.01;2.50
A;20150104;22;129.82;17850;9469;7.01;2.50
A;20150104;23;106.67;16850;8526;7.01;2.50
A;20150104;24;89.43;15625;7356;7.01;2.50
A;20150105;1;78.21;14500;6200;6.91;2.70
A;20150105;2;74;13825;5602;6.91;2.70
A;20150105;3;74;13600;5473;6.91;2.70
A;20150105;4;74.01;13550;5541;6.91;2.70
A;20150105;5;76.55;13825;5943;6.91;2.70
A;20150105;6;84.03;14625;6866;6.91;2.70
A;20150105;7;113.89;16825;9183;6.91;2.70
A;20150105;8;125.5;18675;11115;6.91;2.70
A;20150105;9;150.28;19575;12128;6.91;2.70
A;20150105;10;152.14;20350;13006;6.91;2.70
A;20150105;11;152.41;20700;13427;6.91;2.70
A;20150105;12;153.37;20975;13792;6.91;2.70
A;20150105;13;156.5;21025;13904;6.91;2.70
A;20150105;14;159.64;21200;14114;6.91;2.70
A;20150105;15;156.37;21025;13979;6.91;2.70
A;20150105;16;156;21225;14211;6.91;2.70
A;20150105;17;180.97;22575;15616;6.91;2.70
A;20150105;18;182.46;22750;15892;6.91;2.70
A;20150105;19;182.42;22500;15753;6.91;2.70
A;20150105;20;182.23;22275;15652;6.91;2.70
A;20150105;21;171.52;21675;15175;6.91;2.70
A;20150105;22;153.77;20350;13953;6.91;2.70
A;20150105;23;146.43;18825;12538;6.91;2.70
A;20150105;24;131.52;17400;11198;6.91;2.70
A;20150106;1;131.49;16000;9787;6.78;2.50
A;20150106;2;121.4;15000;8916;6.78;2.50
A;20150106;3;116.22;14425;8477;6.78;2.50
A;20150106;4;115.25;14225;8401;6.78;2.50
A;20150106;5;115.54;14200;8480;6.78;2.50
A;20150106;6;124.02;14125;8481;6.78;2.50
A;20150106;7;131.49;14225;8620;6.78;2.50
A;20150106;8;127.25;14400;8834;6.78;2.50
A;20150106;9;131.39;14875;9315;6.78;2.50
A;20150106;10;148.44;15750;10209;6.78;2.50
A;20150106;11;152.35;16400;10881;6.78;2.50
A;20150106;12;152.55;16950;11443;6.78;2.50
A;20150106;13;160;17225;11720;6.78;2.50
A;20150106;14;160.46;17525;12005;6.78;2.50
A;20150106;15;159.98;17400;11833;6.78;2.50
A;20150106;16;159.93;17450;11811;6.78;2.50
A;20150106;17;173.72;18650;12911;6.78;2.50
A;20150106;18;173.75;19175;13330;6.78;2.50
A;20150106;19;173.71;19225;13248;6.78;2.50
A;20150106;20;173.57;19250;13157;6.78;2.50
A;20150106;21;166.58;18775;12562;6.78;2.50
A;20150106;22;150.76;17950;11621;6.78;2.50
A;20150106;23;139.28;17025;10593;6.78;2.50
A;20150106;24;114.38;15925;9398;6.78;2.50
A;20150107;1;105.5;15025;7749;6.77;2.60
A;20150107;2;104.52;14500;7179;6.77;2.60
A;20150107;3;101.75;14200;6859;6.77;2.60
A;20150107;4;103.32;14175;6811;6.77;2.60
A;20150107;5;104.92;14500;7103;6.77;2.60
A;20150107;6;105.48;15425;7991;6.77;2.60
A;20150107;7;135.52;18100;10630;6.77;2.60
A;20150107;8;152.63;20400;12885;6.77;2.60
A;20150107;9;171.56;21200;13790;6.77;2.60
A;20150107;10;184.35;21725;14437;6.77;2.60
A;20150107;11;185.45;21900;14729;6.77;2.60
A;20150107;12;186.48;22075;15013;6.77;2.60
A;20150107;13;188.43;22150;15166;6.77;2.60
A;20150107;14;190;22325;15398;6.77;2.60
A;20150107;15;187.57;22075;15145;6.77;2.60
A;20150107;16;186.09;22125;15155;6.77;2.60
A;20150107;17;208.43;23350;16353;6.77;2.60
A;20150107;18;228.03;23650;16645;6.77;2.60
A;20150107;19;215.73;23400;16400;6.77;2.60
A;20150107;20;190.89;23275;16283;6.77;2.60
A;20150107;21;186.06;22575;15609;6.77;2.60
A;20150107;22;156.73;21200;14248;6.77;2.60
A;20150107;23;151.75;19675;12796;6.77;2.60
A;20150107;24;135.54;18200;11343;6.77;2.60
A;20150108;1;124.27;17125;10086;6.81;2.47
A;20150108;2;105.48;16350;9333;6.81;2.47
A;20150108;3;105.44;16125;9095;6.81;2.47
A;20150108;4;105.44;16100;9017;6.81;2.47
A;20150108;5;105.44;16250;9087;6.81;2.47
A;20150108;6;105.5;17000;9727;6.81;2.47
A;20150108;7;140;19350;11915;6.81;2.47
A;20150108;8;151.29;21400;13748;6.81;2.47
A;20150108;9;159.66;22075;14242;6.81;2.47
A;20150108;10;164.92;22500;14542;6.81;2.47
A;20150108;11;165.94;22475;14463;6.81;2.47
A;20150108;12;169.84;22675;14644;6.81;2.47
A;20150108;13;171.45;22675;14632;6.81;2.47
A;20150108;14;178.68;22775;14682;6.81;2.47
A;20150108;15;171.93;22525;14387;6.81;2.47
A;20150108;16;170;22475;14321;6.81;2.47
A;20150108;17;185.08;23550;15381;6.81;2.47
A;20150108;18;188.55;23875;15694;6.81;2.47
A;20150108;19;184.54;23600;15415;6.81;2.47
A;20150108;20;178.9;23375;15220;6.81;2.47
A;20150108;21;160.21;22675;14561;6.81;2.47
A;20150108;22;144.73;21250;13200;6.81;2.47
A;20150108;23;134.2;19650;11640;6.81;2.47
A;20150108;24;105;18225;10107;6.81;2.47
A;20150109;1;98.13;17050;8481;6.71;2.51
A;20150109;2;86.72;16350;7613;6.71;2.51
A;20150109;3;84.66;16125;7256;6.71;2.51
A;20150109;4;84.83;16100;7121;6.71;2.51
A;20150109;5;84.59;16250;7202;6.71;2.51
A;20150109;6;96.23;17000;7911;6.71;2.51
A;20150109;7;148.72;19475;10358;6.71;2.51
A;20150109;8;140.93;21900;12780;6.71;2.51
A;20150109;9;151.14;22575;13510;6.71;2.51
A;20150109;10;153.05;23000;14023;6.71;2.51
A;20150109;11;156.88;22975;14063;6.71;2.51
A;20150109;12;168.86;23175;14289;6.71;2.51
A;20150109;13;173.55;23175;14283;6.71;2.51
A;20150109;14;179.55;23275;14389;6.71;2.51
A;20150109;15;172.92;23025;14012;6.71;2.51
A;20150109;16;173.15;22950;13857;6.71;2.51
A;20150109;17;190.05;23950;14861;6.71;2.51
A;20150109;18;189.76;24275;15164;6.71;2.51
A;20150109;19;181.5;24000;14838;6.71;2.51
A;20150109;20;180.14;23775;14632;6.71;2.51
A;20150109;21;169.99;23075;13962;6.71;2.51
A;20150109;22;138;21650;12533;6.71;2.51
A;20150109;23;134.13;20050;10969;6.71;2.51
A;20150109;24;100.61;18625;9580;6.71;2.51
A;20150110;1;101.64;17100;8290;6.71;2.51
A;20150110;2;97.1;16200;7535;6.71;2.51
A;20150110;3;95;15800;7388;6.71;2.51
A;20150110;4;95;15675;7623;6.71;2.51
A;20150110;5;96.95;15675;7999;6.71;2.51
A;20150110;6;101.49;15825;8453;6.71;2.51
A;20150110;7;130.07;16650;9451;6.71;2.51
A;20150110;8;134.86;17450;10290;6.71;2.51
A;20150110;9;150.94;18413;11070;6.71;2.51
A;20150110;10;155.37;19500;11866;6.71;2.51
A;20150110;11;155.68;20050;12148;6.71;2.51
A;20150110;12;155;20325;12069;6.71;2.51
A;20150110;13;153.97;20350;11777;6.71;2.51
A;20150110;14;152.21;20325;11588;6.71;2.51
A;20150110;15;150.96;19888;11047;6.71;2.51
A;20150110;16;150.96;19913;10990;6.71;2.51
A;20150110;17;155;21075;12099;6.71;2.51
A;20150110;18;155;21425;12422;6.71;2.51
A;20150110;19;153.61;21113;12087;6.71;2.51
A;20150110;20;151.99;20925;11907;6.71;2.51
A;20150110;21;150.89;20250;11240;6.71;2.51
A;20150110;22;128.12;19025;10050;6.71;2.51
A;20150110;23;104.8;17925;8995;6.71;2.51
A;20150110;24;100.38;16700;7796;6.71;2.51
A;20150111;1;94.49;15738;7095;6.71;2.51
A;20150111;2;84.65;15050;6439;6.71;2.51
A;20150111;3;80.4;14575;5986;6.71;2.51
A;20150111;4;76.43;14363;5783;6.71;2.51
A;20150111;5;75;14313;5733;6.71;2.51
A;20150111;6;75;14463;5880;6.71;2.51
A;20150111;7;75;14888;6314;6.71;2.51
A;20150111;8;74.99;15200;6648;6.71;2.51
A;20150111;9;74.99;15875;7350;6.71;2.51
A;20150111;10;78.05;16950;8441;6.71;2.51
A;20150111;11;104.8;17700;9190;6.71;2.51
A;20150111;12;119.99;18025;9489;6.71;2.51
A;20150111;13;120;18175;9611;6.71;2.51
A;20150111;14;126.16;18325;9726;6.71;2.51
A;20150111;15;120;18050;9407;6.71;2.51
A;20150111;16;120;18000;9305;6.71;2.51
A;20150111;17;139.99;19200;10448;6.71;2.51
A;20150111;18;144.94;20000;11199;6.71;2.51
A;20150111;19;142.51;20150;11321;6.71;2.51
A;20150111;20;150.3;20200;11364;6.71;2.51
A;20150111;21;137.83;19663;10821;6.71;2.51
A;20150111;22;120;18775;9923;6.71;2.51
A;20150111;23;103.94;17825;8968;6.71;2.51
A;20150111;24;95.71;16600;7749;6.71;2.51
A;20150112;1;95.43;15413;6569;6.71;2.45
A;20150112;2;79.99;14963;6170;6.71;2.45
A;20150112;3;79.99;14775;6066;6.71;2.45
A;20150112;4;83.48;14788;6150;6.71;2.45
A;20150112;5;88.81;15150;6557;6.71;2.45
A;20150112;6;103.42;16200;7660;6.71;2.45
A;20150112;7;150.46;19150;10625;6.71;2.45
A;20150112;8;150.81;21388;12747;6.71;2.45
A;20150112;9;159.87;22350;13668;6.71;2.45
A;20150112;10;173.12;22850;14141;6.71;2.45
A;20150112;11;173.32;22863;14156;6.71;2.45
A;20150112;12;174.98;23188;14507;6.71;2.45
A;20150112;13;175.23;23213;14549;6.71;2.45
A;20150112;14;178.71;23288;14683;6.71;2.45
A;20150112;15;174.16;22900;14335;6.71;2.45
A;20150112;16;174.6;22825;14279;6.71;2.45
A;20150112;17;199.99;23850;15328;6.71;2.45
A;20150112;18;198.8;24238;15735;6.71;2.45
A;20150112;19;181.91;23850;15363;6.71;2.45
A;20150112;20;179.99;23775;15268;6.71;2.45
